"","ResponseId","Age","Gender","robot_type","robot_id","warmth","competence"
"1","R_293XhhU9G6nRPjk","17","Female","SoftRobot","1","21","27"
"2","R_293XhhU9G6nRPjk","17","Female","SoftRobot","2","58","53"
"3","R_293XhhU9G6nRPjk","17","Female","SoftRobot","3","81","21"
"4","R_293XhhU9G6nRPjk","17","Female","SoftRobot","4","54",""
"5","R_293XhhU9G6nRPjk","17","Female","SoftRobot","5","65","43"
"6","R_293XhhU9G6nRPjk","17","Female","SoftRobot","6","33","48"
"7","R_293XhhU9G6nRPjk","17","Female","SoftRobot","7","64","35"
"8","R_293XhhU9G6nRPjk","17","Female","SoftRobot","8","12","14"
"9","R_293XhhU9G6nRPjk","17","Female","SoftRobot","9","87","15"
"10","R_293XhhU9G6nRPjk","17","Female","SoftRobot","10","31","28"
"11","R_293XhhU9G6nRPjk","17","Female","HardRobot","1","42","49"
"12","R_293XhhU9G6nRPjk","17","Female","HardRobot","2","20","19"
"13","R_293XhhU9G6nRPjk","17","Female","HardRobot","3","81","15"
"14","R_293XhhU9G6nRPjk","17","Female","HardRobot","4","48","80"
"15","R_293XhhU9G6nRPjk","17","Female","HardRobot","5","77","93"
"16","R_293XhhU9G6nRPjk","17","Female","HardRobot","6","18","77"
"17","R_293XhhU9G6nRPjk","17","Female","HardRobot","7","27","54"
"18","R_293XhhU9G6nRPjk","17","Female","HardRobot","8","18","80"
"19","R_293XhhU9G6nRPjk","17","Female","HardRobot","9","11","74"
"20","R_293XhhU9G6nRPjk","17","Female","HardRobot","10","23","50"
"21","R_2QMmjYuDd8q7J9t","19","Female","SoftRobot","1","23","24"
"22","R_2QMmjYuDd8q7J9t","19","Female","SoftRobot","2","4","13"
"23","R_2QMmjYuDd8q7J9t","19","Female","SoftRobot","3","9","9"
"24","R_2QMmjYuDd8q7J9t","19","Female","SoftRobot","4","25","14"
"25","R_2QMmjYuDd8q7J9t","19","Female","SoftRobot","5","26","30"
"26","R_2QMmjYuDd8q7J9t","19","Female","SoftRobot","6","22","5"
"27","R_2QMmjYuDd8q7J9t","19","Female","SoftRobot","7","22","24"
"28","R_2QMmjYuDd8q7J9t","19","Female","SoftRobot","8","5","4"
"29","R_2QMmjYuDd8q7J9t","19","Female","SoftRobot","9","19","16"
"30","R_2QMmjYuDd8q7J9t","19","Female","SoftRobot","10","53","58"
"31","R_2QMmjYuDd8q7J9t","19","Female","HardRobot","1","73","68"
"32","R_2QMmjYuDd8q7J9t","19","Female","HardRobot","2","58","74"
"33","R_2QMmjYuDd8q7J9t","19","Female","HardRobot","3","53","24"
"34","R_2QMmjYuDd8q7J9t","19","Female","HardRobot","4","90","93"
"35","R_2QMmjYuDd8q7J9t","19","Female","HardRobot","5","79","92"
"36","R_2QMmjYuDd8q7J9t","19","Female","HardRobot","6","39","34"
"37","R_2QMmjYuDd8q7J9t","19","Female","HardRobot","7","43","31"
"38","R_2QMmjYuDd8q7J9t","19","Female","HardRobot","8","63","45"
"39","R_2QMmjYuDd8q7J9t","19","Female","HardRobot","9","49","39"
"40","R_2QMmjYuDd8q7J9t","19","Female","HardRobot","10","58","27"
"41","R_29fSvKljoFQwDgA","17","Female","SoftRobot","1","45","17"
"42","R_29fSvKljoFQwDgA","17","Female","SoftRobot","2","35","13"
"43","R_29fSvKljoFQwDgA","17","Female","SoftRobot","3","100","38"
"44","R_29fSvKljoFQwDgA","17","Female","SoftRobot","4","12","19"
"45","R_29fSvKljoFQwDgA","17","Female","SoftRobot","5","90","30"
"46","R_29fSvKljoFQwDgA","17","Female","SoftRobot","6","92","7"
"47","R_29fSvKljoFQwDgA","17","Female","SoftRobot","7","72","21"
"48","R_29fSvKljoFQwDgA","17","Female","SoftRobot","8","58","36"
"49","R_29fSvKljoFQwDgA","17","Female","SoftRobot","9","16","7"
"50","R_29fSvKljoFQwDgA","17","Female","SoftRobot","10","5","17"
"51","R_29fSvKljoFQwDgA","17","Female","HardRobot","1","21","70"
"52","R_29fSvKljoFQwDgA","17","Female","HardRobot","2","85","80"
"53","R_29fSvKljoFQwDgA","17","Female","HardRobot","3","77","15"
"54","R_29fSvKljoFQwDgA","17","Female","HardRobot","4","15","44"
"55","R_29fSvKljoFQwDgA","17","Female","HardRobot","5","15","91"
"56","R_29fSvKljoFQwDgA","17","Female","HardRobot","6","33","11"
"57","R_29fSvKljoFQwDgA","17","Female","HardRobot","7","84","50"
"58","R_29fSvKljoFQwDgA","17","Female","HardRobot","8","3","60"
"59","R_29fSvKljoFQwDgA","17","Female","HardRobot","9","44","30"
"60","R_29fSvKljoFQwDgA","17","Female","HardRobot","10","30","20"
"61","R_2BRfEzA2V5kHF8I","17","Female","SoftRobot","1","65","20"
"62","R_2BRfEzA2V5kHF8I","17","Female","SoftRobot","2","52","28"
"63","R_2BRfEzA2V5kHF8I","17","Female","SoftRobot","3","100","7"
"64","R_2BRfEzA2V5kHF8I","17","Female","SoftRobot","4","4","27"
"65","R_2BRfEzA2V5kHF8I","17","Female","SoftRobot","5","38","28"
"66","R_2BRfEzA2V5kHF8I","17","Female","SoftRobot","6","60","40"
"67","R_2BRfEzA2V5kHF8I","17","Female","SoftRobot","7","33","27"
"68","R_2BRfEzA2V5kHF8I","17","Female","SoftRobot","8","75","13"
"69","R_2BRfEzA2V5kHF8I","17","Female","SoftRobot","9","61","9"
"70","R_2BRfEzA2V5kHF8I","17","Female","SoftRobot","10","4","55"
"71","R_2BRfEzA2V5kHF8I","17","Female","HardRobot","1","60","36"
"72","R_2BRfEzA2V5kHF8I","17","Female","HardRobot","2","65","45"
"73","R_2BRfEzA2V5kHF8I","17","Female","HardRobot","3","100","25"
"74","R_2BRfEzA2V5kHF8I","17","Female","HardRobot","4","35","45"
"75","R_2BRfEzA2V5kHF8I","17","Female","HardRobot","5","57","61"
"76","R_2BRfEzA2V5kHF8I","17","Female","HardRobot","6","6","25"
"77","R_2BRfEzA2V5kHF8I","17","Female","HardRobot","7","58","37"
"78","R_2BRfEzA2V5kHF8I","17","Female","HardRobot","8","3","65"
